iter	Passed	Remaining
787	913	245
788	913	244
789	914	243
790	915	241
791	916	240
792	917	239
793	918	238
794	919	237
795	920	235
796	920	234
797	921	233
798	922	232
799	923	230
800	924	229
801	925	228
802	925	227
803	926	225
804	927	224
805	928	223
806	929	222
807	930	220
808	930	219
809	931	218
810	932	217
811	933	216
812	934	214
813	935	213
814	936	212
815	936	211
816	937	210
817	938	208
818	939	207
819	940	206
820	940	205
821	941	203
822	942	202
823	943	201
824	944	200
825	945	199
826	945	197
827	946	196
828	947	195
829	948	194
830	949	193
831	950	191
832	951	190
833	952	189
834	952	188
835	953	187
836	954	185
837	955	184
838	956	183
839	957	182
840	957	181
841	958	179
842	959	178
843	960	177
844	961	176
845	962	175
846	962	173
847	963	172
848	964	171
849	965	170
850	966	169
851	967	168
852	967	166
853	968	165
854	969	164
855	970	163
856	971	162
857	972	160
858	973	159
859	973	158
860	974	157
861	975	156
862	976	155
863	977	153
864	978	152
865	979	151
866	979	150
867	980	149
868	981	147
869	982	146
870	983	145
871	984	144
872	985	143
873	985	142
874	986	140
875	987	139
876	988	138
877	989	137
878	990	136
879	990	135
880	991	133
881	992	132
882	993	131
883	994	130
884	995	129
885	996	128
886	997	127
887	998	125
888	999	124
889	999	123
890	1000	122
891	1001	121
892	1002	120
893	1003	118
894	1004	117
895	1005	116
896	1006	115
897	1007	114
898	1007	113
899	1008	112
900	1009	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1014	104
907	1015	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1020	96
914	1021	94
915	1022	93
916	1023	92
917	1024	91
918	1025	90
919	1026	89
920	1026	88
921	1027	86
922	1028	85
923	1029	84
924	1030	83
925	1031	82
926	1031	81
927	1032	80
928	1033	78
929	1034	77
930	1035	76
931	1036	75
932	1037	74
933	1038	73
934	1038	72
935	1039	71
936	1040	69
937	1041	68
938	1042	67
939	1042	66
940	1043	65
941	1044	64
942	1045	63
943	1046	62
944	1047	60
945	1048	59
946	1049	58
947	1049	57
948	1050	56
949	1051	55
950	1052	54
951	1053	53
952	1054	51
953	1054	50
954	1055	49
955	1056	48
956	1057	47
957	1058	46
958	1059	45
959	1060	44
960	1060	43
961	1061	41
962	1062	40
963	1063	39
964	1064	38
965	1065	37
966	1066	36
967	1067	35
968	1067	34
969	1068	33
970	1069	31
971	1070	30
972	1071	29
973	1072	28
974	1073	27
975	1073	26
976	1074	25
977	1075	24
978	1076	23
979	1077	21
980	1078	20
981	1079	19
982	1080	18
983	1081	17
984	1081	16
985	1082	15
986	1083	14
987	1084	13
988	1085	12
989	1086	10
990	1086	9
991	1087	8
992	1088	7
993	1089	6
994	1090	5
995	1091	4
996	1091	3
997	1092	2
998	1093	1
999	1094	0
