iter	Passed	Remaining
858	1133	186
859	1134	184
860	1135	183
861	1136	181
862	1136	180
863	1137	179
864	1138	177
865	1139	176
866	1140	174
867	1141	173
868	1141	172
869	1142	170
870	1143	169
871	1144	168
872	1145	166
873	1146	165
874	1147	163
875	1148	162
876	1148	161
877	1149	159
878	1150	158
879	1151	156
880	1152	155
881	1152	154
882	1153	152
883	1154	151
884	1155	150
885	1156	148
886	1156	147
887	1157	146
888	1158	144
889	1159	143
890	1161	142
891	1164	140
892	1166	139
893	1169	138
894	1171	137
895	1173	136
896	1174	134
897	1176	133
898	1178	132
899	1180	131
900	1182	129
901	1184	128
902	1186	127
903	1188	126
904	1190	124
905	1192	123
906	1194	122
907	1196	121
908	1199	120
909	1201	118
910	1203	117
911	1204	116
912	1206	114
913	1207	113
914	1209	112
915	1211	111
916	1212	109
917	1214	108
918	1215	107
919	1216	105
920	1217	104
921	1219	103
922	1220	101
923	1221	100
924	1222	99
925	1223	97
926	1224	96
927	1225	95
928	1226	93
929	1227	92
930	1228	91
931	1229	89
932	1230	88
933	1231	87
934	1232	85
935	1233	84
936	1233	82
937	1234	81
938	1235	80
939	1236	78
940	1237	77
941	1238	76
942	1239	74
943	1240	73
944	1241	72
945	1242	70
946	1243	69
947	1244	68
948	1245	66
949	1246	65
950	1247	64
951	1248	62
952	1249	61
953	1250	60
954	1250	58
955	1251	57
956	1252	56
957	1253	54
958	1254	53
959	1255	52
960	1256	50
961	1257	49
962	1258	48
963	1259	47
964	1260	45
965	1261	44
966	1262	43
967	1263	41
968	1264	40
969	1264	39
970	1265	37
971	1266	36
972	1267	35
973	1268	33
974	1269	32
975	1270	31
976	1271	29
977	1272	28
978	1273	27
979	1274	26
980	1275	24
981	1276	23
982	1277	22
983	1278	20
984	1279	19
985	1280	18
986	1281	16
987	1282	15
988	1283	14
989	1284	12
990	1285	11
991	1286	10
992	1287	9
993	1288	7
994	1289	6
995	1290	5
996	1291	3
997	1292	2
998	1292	1
999	1293	0
